path,is_duplicate,duplicate_of,text_hash,text_len,group_size
D:\Codes\get_policy\output\法宝数据库\地方\中国(上海)自由贸易试验区临港新片区管理办法(FBM-CLI.11.1535062).pdf,False,,a4c9719f88cd8864eb59ecfd8b5967d68d6a0d33,7538,2
D:\Codes\get_policy\output\法宝数据库\地方\中国(上海)自由贸易试验区临港新片区管理办法(FBMCLI.11.1535062).pdf,True,D:\Codes\get_policy\output\法宝数据库\地方\中国(上海)自由贸易试验区临港新片区管理办法(FBM-CLI.11.1535062).pdf,a4c9719f88cd8864eb59ecfd8b5967d68d6a0d33,7538,2
D:\Codes\get_policy\output\网信办\个人信息保护\《个人信息保护合规审计管理办法》实施有关事项答记者问_2025-05-27.md,False,,6a8c66244745600f9f734ccb5bb36d132da0effb,1198,2
D:\Codes\get_policy\output\网信办\个人信息保护\《个人信息保护合规审计管理办法》答记者问_2025-02-14.md,False,,30740561f895307f8be2e52c36deeafa8432e01b,3057,2
D:\Codes\get_policy\output\网信办\个人信息保护\《人脸识别技术应用安全管理办法》答记者问_2025-03-21.md,False,,618e1a587add1dc6d756af0c48571a69f8f36d15,2969,2
D:\Codes\get_policy\output\网信办\个人信息保护\个人信息保护合规审计管理办法_2025-02-14.md,False,,2a0c6210e17b85479802134f6c4ca371353716c3,8218,2
D:\Codes\get_policy\output\网信办\个人信息保护\人脸识别技术应用安全管理办法_2025-03-21.md,False,,8f004801e3b040e0485405d7998aa8f2d7cae86d,3135,2
D:\Codes\get_policy\output\网信办\个人信息出境标准合同\《个人信息出境标准合同办法》答记者问_2023-02-24.md,False,,edeba31a321b98b75c13d263c33d5d847e69668f,2008,2
D:\Codes\get_policy\output\网信办\个人信息出境标准合同\个人信息出境标准合同办法_2023-02-24.md,False,,9146370a55812a6207109486c9d0b3d6b36e5809,2411,2
D:\Codes\get_policy\output\网信办\个人信息出境标准合同\国家互联网信息办公室公布《个人信息出境标准合同办法》_2023-02-24.md,False,,ec622c643e03e667e309deab95a06beba8c258d1,1111,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\​个人信息保护认证实施规则_2022-11-18.md,False,,01ea5b6e7d84c3e52adfefb8fb1e11424303d259,2167,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜《个人信息出境认证办法》公布 完成数据跨境制度体系新拼图_2025-10-17.md,False,,370ac83c16cfb6af030567cca585099b8b4227d1,3385,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜加快实施个人信息出境认证制度 以高水平数据安全保障数字经济高质量发展_2025-10-17.md,False,,5b2395d7537bb4371278cda76d495e2ee5b19a0f,3239,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜建构个人信息出境认证制度 完善个人信息出境合规体系_2025-10-17.md,False,,5db07bd539314d0140cff5b215b10b3372e95328,1973,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜筑基数据跨境流动 护航个人信息安全_2025-10-17.md,False,,8b769957285b582a9e1ee1d69c91879316f2c073,2555,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\个人信息出境认证办法_2025-10-17.md,False,,bc297152656bf740ffdf89742e3c8d850e5906e0,2949,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\关于实施个人信息保护认证的公告-​个人信息保护认证实施规则.md,False,,46d8920fa1564477ceb90ac4a51a720c3f0a6655,2178,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\关于实施个人信息保护认证的公告_2022-11-18.md,False,,dbb8d7e4ca6a1ea3aa9fc44908effcd96fe62718,582,2
D:\Codes\get_policy\output\网信办\政策法规\​《数据出境安全评估办法》答记者问_2022-07-07.md,False,,780eed3c1d5bbf0da56718937bde36760c264597,2861,2
D:\Codes\get_policy\output\网信办\政策法规\​个人信息保护认证实施规则_2022-11-18.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\​个人信息保护认证实施规则_2022-11-18.md,01ea5b6e7d84c3e52adfefb8fb1e11424303d259,2167,2
D:\Codes\get_policy\output\网信办\政策法规\《个人信息保护合规审计管理办法》实施有关事项答记者问_2025-05-27.md,True,D:\Codes\get_policy\output\网信办\个人信息保护\《个人信息保护合规审计管理办法》实施有关事项答记者问_2025-05-27.md,6a8c66244745600f9f734ccb5bb36d132da0effb,1198,2
D:\Codes\get_policy\output\网信办\政策法规\《个人信息保护合规审计管理办法》答记者问_2025-02-14.md,True,D:\Codes\get_policy\output\网信办\个人信息保护\《个人信息保护合规审计管理办法》答记者问_2025-02-14.md,30740561f895307f8be2e52c36deeafa8432e01b,3057,2
D:\Codes\get_policy\output\网信办\政策法规\《个人信息出境标准合同办法》答记者问_2023-02-24.md,True,D:\Codes\get_policy\output\网信办\个人信息出境标准合同\《个人信息出境标准合同办法》答记者问_2023-02-24.md,edeba31a321b98b75c13d263c33d5d847e69668f,2008,2
D:\Codes\get_policy\output\网信办\政策法规\《人脸识别技术应用安全管理办法》答记者问_2025-03-21.md,True,D:\Codes\get_policy\output\网信办\个人信息保护\《人脸识别技术应用安全管理办法》答记者问_2025-03-21.md,618e1a587add1dc6d756af0c48571a69f8f36d15,2969,2
D:\Codes\get_policy\output\网信办\政策法规\专家解读｜《个人信息出境认证办法》公布 完成数据跨境制度体系新拼图_2025-10-17.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜《个人信息出境认证办法》公布 完成数据跨境制度体系新拼图_2025-10-17.md,370ac83c16cfb6af030567cca585099b8b4227d1,3385,2
D:\Codes\get_policy\output\网信办\政策法规\专家解读｜加快实施个人信息出境认证制度 以高水平数据安全保障数字经济高质量发展_2025-10-17.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜加快实施个人信息出境认证制度 以高水平数据安全保障数字经济高质量发展_2025-10-17.md,5b2395d7537bb4371278cda76d495e2ee5b19a0f,3239,2
D:\Codes\get_policy\output\网信办\政策法规\专家解读｜建构个人信息出境认证制度 完善个人信息出境合规体系_2025-10-17.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜建构个人信息出境认证制度 完善个人信息出境合规体系_2025-10-17.md,5db07bd539314d0140cff5b215b10b3372e95328,1973,2
D:\Codes\get_policy\output\网信办\政策法规\专家解读｜筑基数据跨境流动 护航个人信息安全_2025-10-17.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜筑基数据跨境流动 护航个人信息安全_2025-10-17.md,8b769957285b582a9e1ee1d69c91879316f2c073,2555,2
D:\Codes\get_policy\output\网信办\政策法规\个人信息保护合规审计管理办法_2025-02-14.md,True,D:\Codes\get_policy\output\网信办\个人信息保护\个人信息保护合规审计管理办法_2025-02-14.md,2a0c6210e17b85479802134f6c4ca371353716c3,8218,2
D:\Codes\get_policy\output\网信办\政策法规\个人信息出境标准合同办法_2023-02-24.md,True,D:\Codes\get_policy\output\网信办\个人信息出境标准合同\个人信息出境标准合同办法_2023-02-24.md,9146370a55812a6207109486c9d0b3d6b36e5809,2411,2
D:\Codes\get_policy\output\网信办\政策法规\个人信息出境认证办法_2025-10-17.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\个人信息出境认证办法_2025-10-17.md,bc297152656bf740ffdf89742e3c8d850e5906e0,2949,2
D:\Codes\get_policy\output\网信办\政策法规\人脸识别技术应用安全管理办法_2025-03-21.md,True,D:\Codes\get_policy\output\网信办\个人信息保护\人脸识别技术应用安全管理办法_2025-03-21.md,8f004801e3b040e0485405d7998aa8f2d7cae86d,3135,2
D:\Codes\get_policy\output\网信办\政策法规\关于实施个人信息保护认证的公告-​个人信息保护认证实施规则.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\关于实施个人信息保护认证的公告-​个人信息保护认证实施规则.md,46d8920fa1564477ceb90ac4a51a720c3f0a6655,2178,2
D:\Codes\get_policy\output\网信办\政策法规\关于实施个人信息保护认证的公告_2022-11-18.md,True,D:\Codes\get_policy\output\网信办\个人信息出境认证\关于实施个人信息保护认证的公告_2022-11-18.md,dbb8d7e4ca6a1ea3aa9fc44908effcd96fe62718,582,2
D:\Codes\get_policy\output\网信办\政策法规\国家互联网信息办公室公布《个人信息出境标准合同办法》_2023-02-24.md,True,D:\Codes\get_policy\output\网信办\个人信息出境标准合同\国家互联网信息办公室公布《个人信息出境标准合同办法》_2023-02-24.md,ec622c643e03e667e309deab95a06beba8c258d1,1111,2
D:\Codes\get_policy\output\网信办\政策法规\国家互联网信息办公室公布《数据出境安全评估办法》-数据出境安全评估办法.md,False,,1f75044dc6aa4d1b64cce1f3fef4ab13da0dee0e,3311,2
D:\Codes\get_policy\output\网信办\政策法规\国家互联网信息办公室公布《数据出境安全评估办法》_2022-07-07.md,False,,512a4c46ce966eb0c4e32a87bc11a48e367dcb00,1120,2
D:\Codes\get_policy\output\网信办\政策法规\数据出境安全评估办法_2022-07-07.md,False,,b113c4460629d9ed8ea2c86349679839183f1e6e,3300,2
D:\Codes\get_policy\output\网信办\数据出境安全评估\​《数据出境安全评估办法》答记者问_2022-07-07.md,True,D:\Codes\get_policy\output\网信办\政策法规\​《数据出境安全评估办法》答记者问_2022-07-07.md,780eed3c1d5bbf0da56718937bde36760c264597,2861,2
D:\Codes\get_policy\output\网信办\数据出境安全评估\国家互联网信息办公室公布《数据出境安全评估办法》-数据出境安全评估办法.md,True,D:\Codes\get_policy\output\网信办\政策法规\国家互联网信息办公室公布《数据出境安全评估办法》-数据出境安全评估办法.md,1f75044dc6aa4d1b64cce1f3fef4ab13da0dee0e,3311,2
D:\Codes\get_policy\output\网信办\数据出境安全评估\国家互联网信息办公室公布《数据出境安全评估办法》_2022-07-07.md,True,D:\Codes\get_policy\output\网信办\政策法规\国家互联网信息办公室公布《数据出境安全评估办法》_2022-07-07.md,512a4c46ce966eb0c4e32a87bc11a48e367dcb00,1120,2
D:\Codes\get_policy\output\网信办\数据出境安全评估\数据出境安全评估办法_2022-07-07.md,True,D:\Codes\get_policy\output\网信办\政策法规\数据出境安全评估办法_2022-07-07.md,b113c4460629d9ed8ea2c86349679839183f1e6e,3300,2
